No,pixel,volume,jarak
1,57378,60,30.7
2,53078,50,30.7
3,60613,60,30.7
4,53295,50,30.7
5,44062,40,30.7
6,47379,45,30.7
7,58702,60,30.7
8,44331,45,30.7
9,56897,55,30.7
10,44617,40,30.7
11,58183,55,30.7
12,56427,60,30.7
13,58838,60,30.7
14,66614,75,30.7
15,60512,60,30.7
16,57192,60,30.7
17,54665,55,30.7
18,60386,65,30.7
19,44675,40,30.7
20,51767,50,30.7
21,48116,45,31.6
22,50781,50,31.6
23,53032,55,31.6
24,57416,60,31.6
25,56611,60,31.6
26,58553,60,31.6
27,50784,50,31.6
28,55491,60,31.6
29,52405,55,31.6
30,53574,55,31.6
31,53913,55,31.6
32,53434,55,31.6
33,53641,55,31.6
34,58358,60,31.6
35,51992,55,31.6
36,59186,65,31.6
37,52969,55,31.6
38,50166,50,31.6
39,53044,55,31.6
40,53251,55,31.6
41,52344,55,31.6
42,52071,55,31.6
43,51352,50,31.6
44,56541,60,31.6
45,52824,55,31.6
46,50351,50,31.6
47,53642,55,31.6
48,50530,50,31.6
49,47151,45,31.6
50,53052,55,31.6
51,52202,55,31.6
52,52204,55,31.6
53,54509,55,31
54,54985,55,31
55,53786,55,31
56,51218,50,31
57,54522,55,31
58,51023,50,31
59,56169,60,31
60,57116,60,31
61,55717,55,31
62,47487,45,31
63,52075,50,31
64,55600,55,29.7
65,61411,60,29.7
66,47804,40,29.7
67,55195,55,29.7
68,54198,50,29.7
69,56945,55,29.7
70,65337,65,29.7
71,61250,60,29.7
72,52366,45,29.7
73,53721,50,29.7
74,59053,55,29.7
75,58843,55,29.7
76,52728,45,29.7
77,55748,55,29.7
78,53157,50,29.7
79,55333,50,29.7
80,54478,50,29.7
